pop,indiv,flw_size,poll_trt,frtset
CMA,CMA1C-21.B,SF,S,1
CMA,CMA1C-25.B,SF,S,1
CMC,CMC1C-2.A,SF,S,1
CMC,CMC1C-33.B,SF,S,1
CMC,CMC1C-57.A,SF,S,1
CMC,CMC1C-58.B,SF,S,0
CMK,CMK1C-15.B,SF,S,1
CMK,CMK1C-18.A,SF,S,1
CMK,CMK1C-28.A,SF,S,1
CMK,CMK1C-32.B,SF,S,1
CMK,CMK1C-35.B,SF,S,1
CMS,CMS1C-43.B,SF,S,1
CMS,CMS1C-50.B,SF,S,1
CPR1,CPR1C-2.A,SF,S,1
CPR1,CPR1C-4.A,SF,S,1
CPR1,CPR1C-8.B,SF,S,1
CPR1,CPR1C-10.B,SF,S,1
CPR1,CPR1C-13.A,SF,S,1
CPR1,CPR1C-15.A,SF,S,1
CPR1,CPR1C-15.B,SF,S,1
CRB,CRB1C-3.A,SF,S,1
CRB,CRB1C-8.A,SF,S,1
CRB,CRB1C-13.A,SF,S,1
CRB,CRB1C-18.A,SF,S,1
CSC1,CSC1C-1.B,SF,S,1
CSC1,CSC1C-3.A,SF,S,1
CSC1,CSC1C-4.B,SF,S,1
CSC1,CSC1C-7.A,SF,S,0
CSC1,CSC1C-14.A,SF,S,1
CSC1,CSC1C-21.B,SF,S,1
CSC1,CSC1C-27.A,SF,S,1
CSC1,CSC1C-30.B,SF,S,1
CSN3,CSN3C-2.A,SF,S,1
CSN3,CSN3C-10.A,SF,S,1
CSN3,CSN3C-11.B,SF,S,1
CSN3,CSN3C-12.B,SF,S,0
CSN3,CSN3C-20.A,SF,S,0
CSN3,CSN3C-28.A,SF,S,1
CSN3,CSN3C-41.B,SF,S,1
CSP,CSP1C-10.A,SF,S,1
CSP,CSP1C-17.B,SF,S,1
CSP,CSP1C-18.B,SF,S,1
CSP,CSP1C-19.B,SF,S,1
CSP,CSP1C-20.A,SF,S,1
CSP,CSP1C-11*.A,SF,S,1
CSP,CSP1C-31*.A,SF,S,1
CSR2,CSR21C-4.A,SF,S,1
CSR2,CSR22C-4.B,SF,S,1
CSR2,CSR22C-6.B,SF,S,1
CSU,CSU1C-5.B,SF,S,0
CSU,CSU1C-6.A,SF,S,0
CSU,CSU1C-11.B,SF,S,1
CSU,CSU1C-14.A,SF,S,1
CSU,CSU1C-18.A,SF,S,1
CSU,CSU1C-23.A,SF,S,1
CSU,CSU1C-29.B,SF,S,1
CSU,CSU1C-32.B,SF,S,1
CSU,CSU1C-34.B,SF,S,1
CWR,CWR1C-18.B,SF,S,1
CWR,CWR1C-25.A,SF,S,1
CWR,CWR1C-26.B,SF,S,1
CWR,CWR1C-27.A,SF,S,1
OCB,OCB1C-6.B,SF,S,1
OCB,OCB1C-8.B,SF,S,0
OCB,OCB1C-11.B,SF,S,1
OCB,OCB1C-13.A,SF,S,1
OCB,OCB1C-13.B,SF,S,1
OCB,OCB1C-19.A,SF,S,0
OCB,OCB1C-22.B,SF,S,1
OCB,OCB1C-28.B,SF,S,1
OCB,OCB1C-31.B,SF,S,1
OCB,OCB1C-46.A,SF,S,1
OCB,OCB1C-47.A,SF,S,1
OCB,OCB1C-50.A,SF,S,1
ONO,ONO1C-16.A,SF,S,1
OPR,OPR1C-4.B,SF,S,1
OPR,OPR1C-12.A,SF,S,1
OPR,OPR1C-13.A,SF,S,0
BBF,BBF1C-37.A,SF,X,1
BES,BES1C-9.A,SF,X,1
BES,BES1C-15.B,SF,X,1
BES,BES1C-23.A,SF,X,0
